System,Firm,Release,Sales
PlayStation Two,Sony,2000,155000000
Nintendo DS,Nintendo,2004,154020000
Game Boy,Nintendo,1989,118690000
Game Boy Color,Nintendo,1998,118690000
PlayStation Four,Sony,2013,102490000
PlayStation,Sony,1994,102490000
Wii,Nintendo,2006,101630000
PlayStation Three,Sony,2006,87400000
Xbox Three-Sixty,Microsoft,2005,84000000
Game Boy Advance,Nintendo,2001,81510000
PlayStation Portable,Sony,2004,82000000
Nintendo ThreeDS,Nintendo,2011,75710000
Nintendo Entertainment System,Nintendo,1983,61910000
Nintendo Switch,Nintendo,2017,52480000
Super Nintendo Entertainment System,Nintendo,1990,49100000
Xbox One,Microsoft,2013,46900000
Sega Genesis,Sega,1988,35000000
Nintendo Sixty-Four,Nintendo,1996,32930000
Atari Twenty-Six-Hundred,Atari,1977,30000000
Xbox,Microsoft,2001,24000000
GameCube,Nintendo,2001,21740000
Wii U,Nintendo,2012,13560000
Sega Game Gear,Sega,1990,10620000
PlayStation Vita,Sony,2011,15000000
Master System,Sega,1986,13000000
TurboGrafx-Sixteen,NEC/Hudson Soft,1987,10000000
Sega Saturn,Sega,1994,9260000
Dreamcast,Sega,1998,9130000
Super NES Classic Edition,Nintendo,2017,5280000
Sega Pica,Sega,1993,3400000
WonderSwan,Bandai,1999,3500000
Color TV-Game,Nintendo,1977,3000000
Intellivision,Mattel,1980,3000000
N-Gage,Nokia,2003,3000000
NES Classic Edition,Nintendo,2016,2300000
ColecoVision,Coleco,1982,2000000
Megnavox Odyssey,Magnavox/Philips,1972,2000000
Atari Lynx,Atari,1989,1000000
Philips CD-i,Philips,1991,1000000
Telstar,Coleco,1976,1000000
Atari Fifty-Two-Hundred,Atari,1982,1000000